date,home_team,away_team,home_score,away_score,status
2025-03-30T13:00:00Z,ACF Fiorentina,Atalanta BC,1,0,FINISHED
2025-03-30T16:00:00Z,FC Internazionale Milano,Udinese Calcio,2,1,FINISHED
2025-03-30T18:45:00Z,SSC Napoli,AC Milan,2,1,FINISHED
2025-03-31T16:30:00Z,Hellas Verona FC,Parma Calcio 1913,0,0,FINISHED
2025-03-31T18:45:00Z,SS Lazio,Torino FC,1,1,FINISHED
2025-04-04T18:45:00Z,Genoa CFC,Udinese Calcio,1,0,FINISHED
2025-04-05T13:00:00Z,AC Monza,Como 1907,1,3,FINISHED
2025-04-05T16:00:00Z,Parma Calcio 1913,FC Internazionale Milano,2,2,FINISHED
2025-04-05T18:45:00Z,AC Milan,ACF Fiorentina,2,2,FINISHED
2025-04-06T10:30:00Z,US Lecce,Venezia FC,1,1,FINISHED
2025-04-06T13:00:00Z,Empoli FC,Cagliari Calcio,0,0,FINISHED
2025-04-06T13:00:00Z,Torino FC,Hellas Verona FC,1,1,FINISHED
2025-04-06T16:00:00Z,Atalanta BC,SS Lazio,0,1,FINISHED
2025-04-06T18:45:00Z,AS Roma,Juventus FC,1,1,FINISHED
2025-04-07T18:45:00Z,Bologna FC 1909,SSC Napoli,1,1,FINISHED
2025-04-11T18:45:00Z,Udinese Calcio,AC Milan,0,4,FINISHED
2025-04-12T13:00:00Z,Venezia FC,AC Monza,1,0,FINISHED
2025-04-12T16:00:00Z,FC Internazionale Milano,Cagliari Calcio,3,1,FINISHED
2025-04-12T18:45:00Z,Juventus FC,US Lecce,2,1,FINISHED
2025-04-13T10:30:00Z,Atalanta BC,Bologna FC 1909,2,0,FINISHED
2025-04-13T13:00:00Z,ACF Fiorentina,Parma Calcio 1913,0,0,FINISHED
2025-04-13T13:00:00Z,Hellas Verona FC,Genoa CFC,0,0,FINISHED
2025-04-13T16:00:00Z,Como 1907,Torino FC,1,0,FINISHED
2025-04-13T18:45:00Z,SS Lazio,AS Roma,1,1,FINISHED
2025-04-14T18:45:00Z,SSC Napoli,Empoli FC,3,0,FINISHED
2025-04-19T13:00:00Z,US Lecce,Como 1907,0,3,FINISHED
